config_id,time,exit_time,direction,entry_price,exit_price,outcome,entry_bar,exit_bar,bars_held,highest_price_reached,lowest_price_reached,sl,tp,rr_ratio,risk_distance_pct,reward_distance_pct,position_size,position_value,leverage_used,risk_amount,gross_pnl,net_pnl,price_change_pct,total_commission,slippage_cost,gain_pct,gain_usd,commission,signal_strength,signal_passed_filter,atr,volatility_regime
default,2025-05-23 11:55:00,2025-05-23 12:00:00,SHORT,1.3004,1.2759813092630312,TP,1362,1363,1,1.3024,1.2523,1.3329582543159584,1.2759813092630312,0.75,2.5037107286956615,1.877783046521746,952.5023515600485,95.25023515600485,10.0,9.525023515600486,1.8228213987251858,1.5828729894364484,1.913718528610131,0.19232329171073487,0.047625117578002425,1.913718528610131,1.5828729894364484,0.19232329171073487,52,True,0.016279127157979183,high
default,2025-05-23 12:05:00,2025-05-23 12:15:00,SHORT,1.281,1.2527749554359808,TP,1364,1366,2,1.289,1.2447,1.3186333927520253,1.2527749554359808,0.7500000000000014,2.9378136418442917,2.2033602313832232,960.4167165072307,96.04167165072307,10.0,9.604167165072308,2.1638207649203456,1.9215527650286175,2.2530019810458546,0.1942471640663665,0.04802083582536154,2.2530019810458546,1.9215527650286175,0.1942471640663665,57,True,0.01881669637601268,high
default,2025-05-23 12:10:00,2025-05-23 12:15:00,SHORT,1.2744,1.2464231729048394,TP,1365,1366,1,1.289,1.2447,1.3117024361268808,1.2464231729048394,0.75,2.9270587042436267,2.1952940281827202,960.4167165072307,96.04167165072307,10.0,9.604167165072308,2.1557215078410588,1.91346160720641,2.2445689155440984,0.1942390648092872,0.04802083582536154,2.2445689155440984,1.91346160720641,0.1942390648092872,57,True,0.018651218063440358,high
default,2025-05-23 12:30:00,2025-05-23 13:00:00,SHORT,1.3029,1.2729686300326717,TP,1369,1375,6,1.3037,1.2728,1.3428084932897708,1.2729686300326717,0.7500000000000028,3.063051138980034,2.297288354235034,979.5917883684059,97.9591788368406,10.0,9.79591788368406,2.3033186790988607,2.05611741332766,2.351304601006543,0.19822167635278004,0.048979589418420295,2.351304601006543,2.05611741332766,0.19822167635278004,61,True,0.019954246644885463,high
default,2025-05-23 12:00:00,2025-05-23 13:30:00,SHORT,1.2721,1.3094898075791042,SL,1363,1381,18,1.313,1.2447,1.3094898075791042,1.244057644315672,0.75,2.9392192106834485,2.2044144080125867,960.4167165072307,96.04167165072307,10.0,9.604167165072308,-2.742273824364311,-2.979635729666754,-2.8552958077793567,0.18934106947708185,0.04802083582536154,-2.8552958077793567,-2.979635729666754,0.18934106947708185,57,True,0.0186949037895521,high
default,2025-05-23 13:10:00,2025-05-23 13:30:00,SHORT,1.2802,1.3117416691942785,SL,1377,1381,4,1.313,1.2771,1.3117416691942785,1.2565437481042911,0.75,2.463807935813035,1.8478559518597764,989.8723754350442,98.98723754350442,10.0,9.898723754350442,-2.380211572428329,-2.6252994547146615,-2.4045640948230695,0.19559426351458054,0.049493618771752214,-2.4045640948230695,-2.6252994547146615,0.19559426351458054,62,True,0.01577083459713927,high
default,2025-05-23 12:45:00,2025-05-23 13:35:00,SHORT,1.2804,1.316960991165316,SL,1372,1382,10,1.3181,1.2728,1.316960991165316,1.2529792566260132,0.7499999999999954,2.8554351113180236,2.1415763334885045,979.5917883684059,97.9591788368406,10.0,9.79591788368406,-2.719507028713315,-2.9616854687767034,-2.7761635622149172,0.1931988506449679,0.048979589418420295,-2.7761635622149172,-2.9616854687767034,0.1931988506449679,64,True,0.018280495582657947,high
default,2025-05-23 12:50:00,2025-05-23 13:35:00,SHORT,1.2816,1.3168780632249362,SL,1373,1382,9,1.3181,1.2728,1.3168780632249362,1.2551414525812978,0.7500000000000048,2.7526578671142397,2.0644934003356927,979.5917883684059,97.9591788368406,10.0,9.79591788368406,-2.624244568252484,-2.8665182707763335,-2.6789164623596817,0.1932941131054287,0.048979589418420295,-2.6789164623596817,-2.8665182707763335,0.1932941131054287,65,True,0.0176390316124681,high
default,2025-05-23 12:55:00,2025-05-23 13:35:00,SHORT,1.2825,1.3162867729945835,SL,1374,1382,8,1.3181,1.2728,1.3162867729945835,1.2571599202540622,0.7500000000000033,2.6344462373944286,1.9758346780458302,979.5917883684059,97.9591788368406,10.0,9.79591788368406,-2.514440322579897,-2.7568238293494187,-2.5668246227011693,0.1934039173511013,0.048979589418420295,-2.5668246227011693,-2.7568238293494187,0.1934039173511013,65,True,0.01689338649729181,high
default,2025-05-23 13:00:00,2025-05-23 13:35:00,SHORT,1.2796,1.313230574923542,SL,1375,1382,7,1.3181,1.2752,1.313230574923542,1.2543770688073437,0.7499999999999983,2.6282099815209388,1.9711574861406997,989.8723754350442,98.98723754350442,10.0,9.898723754350442,-2.5349681710502976,-2.779901296738008,-2.5609040457727605,0.19543950691595857,0.049493618771752214,-2.5609040457727605,-2.779901296738008,0.19543950691595857,65,True,0.01681528746177097,high
