open_time,open,high,low,close,volume,adx,di_pos,di_neg
1747791300000,1.2717,1.2755,1.2679,1.2721,218537.9,13.454901921321612,23.811326170422404,17.98138251273108
1747791600000,1.2721,1.2792,1.2699,1.2702,235699.2,13.916346336282823,24.970529199605455,16.676476486961306
1747791900000,1.2702,1.2726,1.2667,1.2708,298733.6,13.825317704658191,23.7909640208406,18.45078511905762
1747792200000,1.2706,1.2735,1.2659,1.2676,280673.8,13.85335432967632,23.056109807068708,17.31606276045386
1747792500000,1.2676,1.2697,1.2612,1.2631,270910.7,13.127935387291412,21.46603822303056,19.935230798668044
1747792800000,1.2631,1.2655,1.25,1.2504,1008339.7,13.342209523491666,18.90557786203321,26.17627725151934
1747793100000,1.2504,1.2539,1.2421,1.2462,816566.6,14.300880564339929,17.22146481753459,29.808333972564576
1747793400000,1.2463,1.2534,1.2447,1.2526,344582.4,15.191075102270457,16.083854926982,27.839264795965995
1747793700000,1.2526,1.2624,1.2526,1.2576,358858.5,14.71832278588603,21.703856525431494,25.773908163525956
1747794000000,1.2575,1.2657,1.257,1.2656,240939.3,13.863452804072162,22.77858324691274,24.066901073741935
1747794300000,1.2656,1.27,1.2632,1.2648,289992.0,13.190414818185987,24.91487070450427,22.796065709215988
1747794600000,1.2648,1.2697,1.2603,1.2685,263307.8,12.291890499716933,23.099073651812443,23.383114384693528
1747794900000,1.2684,1.2773,1.2682,1.2765,368528.4,12.23349430835924,27.36550005485109,21.73189602198007
1747795200000,1.2764,1.2859,1.2712,1.2846,1293356.6,12.986685521430166,30.77218310860943,19.3542893497352
1747795500000,1.2846,1.2947,1.2821,1.2904,754063.2,14.366473797589947,34.3558694839062,17.578980304995852
1747795800000,1.2904,1.2942,1.2834,1.2936,591490.0,15.647705768309747,31.67400054842291,16.20673963969918
1747796100000,1.2936,1.2942,1.2888,1.2907,319274.8,16.837421169692416,30.396348181389964,15.552999066862721
1747796400000,1.2907,1.2944,1.2891,1.2903,350217.7,17.95902903682714,29.307676348795948,14.916997768985047
1747796700000,1.2903,1.2969,1.284,1.2968,512908.0,18.172699016929265,26.470392646303324,17.30026165418705
1747797000000,1.2968,1.3,1.294,1.2981,451227.4,18.676805323284935,27.635695787617724,16.500141396926367
1747797300000,1.2981,1.3,1.2907,1.2919,280352.8,18.622161544258315,25.655113392465168,17.860658637789232
1747797600000,1.2918,1.2961,1.2888,1.2904,531202.0,18.27690956599307,24.189644538941806,18.32715827484141
1747797900000,1.2903,1.2968,1.2882,1.2929,245635.8,18.040584839473382,23.10507984055485,17.08872506076199
1747798200000,1.293,1.2972,1.2902,1.2961,288535.7,17.87185997556146,22.132579514380815,16.133116560378102
1747798500000,1.2962,1.3026,1.2914,1.2959,454901.2,18.367248689462485,24.424817676470912,14.715228283832776
1747798800000,1.2958,1.2979,1.289,1.2952,249379.3,18.388063258494885,22.716305391050227,15.572188338812868
1747799100000,1.295,1.298,1.2897,1.2903,240007.8,18.420206629945245,21.30427561449004,14.550018438316961
1747799400000,1.2904,1.2911,1.2826,1.283,410395.0,17.22504659640568,19.866101068694068,19.206567642880863
1747799700000,1.2831,1.284,1.279,1.2806,290015.0,16.404683326039173,19.051383453739373,21.37164971643598
1747800000000,1.2805,1.282,1.2697,1.272,734979.9,16.78006881174432,17.184368357307374,26.68692583070512
1747800300000,1.2719,1.2819,1.271,1.2772,386735.2,17.12864104847053,15.714656266058801,24.404497011902325
1747800600000,1.2771,1.2777,1.27,1.2712,234468.6,17.567742420339684,14.75464491841828,23.70700073582574
1747800900000,1.2713,1.2741,1.2691,1.2726,222625.8,18.082899548225292,14.15014488414506,23.473184052369252
1747801200000,1.2727,1.2736,1.2683,1.2712,201624.9,18.660216902951788,13.517925003013717,23.09882237107529
1747801500000,1.271,1.2741,1.2701,1.271,195074.1,19.085948500343513,13.48225522433973,22.28940136347102
1747801800000,1.2711,1.2725,1.2652,1.2696,288690.4,20.09745276063515,12.613555455895305,25.17817523742233
1747802100000,1.2698,1.2903,1.2692,1.2869,698415.1,19.23048123373084,24.599379915113172,20.97196832178267
1747802400000,1.2871,1.2927,1.284,1.2861,657707.3,18.707963747285866,24.805642660705217,19.52369703141244
1747802700000,1.2863,1.2896,1.2812,1.2871,372890.3,17.81325743828362,23.143799251783808,20.448867702531754
1747803000000,1.2871,1.2895,1.2756,1.2757,338965.3,16.852987048482728,20.675408490942353,22.56477624765894
1747803300000,1.2757,1.2775,1.2716,1.2724,389612.3,16.446372712117842,19.714278686366477,24.66745120650896
1747803600000,1.2723,1.28,1.272,1.2768,441865.4,15.706608087312734,20.447562924573432,23.099430215476907
1747803900000,1.2766,1.2857,1.2754,1.282,367642.0,14.91299935936454,23.273774842159703,21.228415928711755
1747804200000,1.282,1.2915,1.2775,1.2884,571503.0,14.853466469483582,25.198115874448803,18.978282657998353
1747804500000,1.2885,1.3113,1.2885,1.3113,929365.0,16.44072796521007,34.83743968285923,15.992262745570665
1747804800000,1.3109,1.3159,1.3028,1.3115,1216285.0,18.196692675172095,34.86192230058474,14.57911536411724
1747805100000,1.3114,1.3167,1.3089,1.3113,678409.1,19.876171324357905,33.54250494871148,13.797341843133696
1747805400000,1.3115,1.3299,1.3115,1.3274,1332085.4,22.148134828713125,38.07239150747513,12.127335227438273
1747805700000,1.3272,1.3272,1.3116,1.313,891369.7,24.257815225614404,34.277017182181936,10.918381050041619
1747806000000,1.3129,1.3298,1.3116,1.3288,755869.4,26.34663102572225,32.07688862797759,9.716766426007997
1747806300000,1.3288,1.3349,1.3192,1.3319,1593391.8,28.530748910559144,32.114657897732094,8.815474276168473
1747806600000,1.3318,1.3474,1.3289,1.3418,1905331.6,31.059449396662096,35.84823115895708,7.887109881002252
